epoch,train_loss,val_miou,iou,val_acc
0,3.5503682896843722,0.5594668834597237,[0.         0.98803212 0.13090165],0.9880536549807177
1,1.5437363511742557,0.5498161055393515,[0.         0.98402548 0.11560673],0.9840590020781393
2,1.1981088588120148,0.5467370617939348,[0.         0.98120153 0.1122726 ],0.9812461571401764
3,0.9182208899321365,0.626115391537653,[0.         0.99441777 0.25781302],0.99442882752096
4,0.7661263889144097,0.5569067814851306,[0.         0.98473241 0.12908115],0.9847668878525114
5,0.5772166501693303,0.6078651515017082,[0.         0.99156367 0.22416663],0.9915841856021521
6,0.5101168011735664,0.5919800194388444,[0.         0.98991303 0.194047  ],0.9899383845522819
7,0.38892329425043287,0.6279630288842352,[0.         0.99293716 0.2629889 ],0.992954913710859
8,0.30687825262770807,0.6683680664648773,[0.         0.99546808 0.34126805],0.9954786987380619
9,0.3357998599332561,0.6649028021083099,[0.         0.99512644 0.33467917],0.9951383537041848
10,0.19661738932830433,0.6953212681726807,[0.         0.99667567 0.39396687],0.9966828353676974
11,0.18205338650784864,0.6849568186424897,[0.         0.99621265 0.37370098],0.9962211929931852
12,0.32758605411668684,0.6958135954692034,[0.         0.99641497 0.39521223],0.9964233445776502
13,0.1574347611146054,0.700999561766736,[0.         0.99666562 0.4053335 ],0.9966731812091052
14,0.13654779247553353,0.6997726951933986,[0.         0.99663583 0.40290956],0.9966434466136399
15,0.19658586573179648,0.6955732283617685,[0.         0.99654803 0.39459843],0.9965557790791764
16,0.1357704938224277,0.6134262449875949,[0.         0.99187636 0.23497613],0.9918965745783299
17,0.1493866481665634,0.703974388684451,[0.         0.99664938 0.4112994 ],0.996657200994028
18,0.10283603328887535,0.7218563660367698,[0.         0.99732269 0.44639004],0.9973284605516516
19,0.09037150959811333,0.716776775440733,[0.         0.99732179 0.43623176],0.9973273316594169
20,0.1631850837379457,0.7078011215380581,[0.         0.99691464 0.41868761],0.9969214789261459
21,0.09204982155015112,0.7098962334585991,[0.         0.99709592 0.42269654],0.9971020857088105
22,0.0806418357730024,0.7126887473416518,[0.         0.99706685 0.42831065],0.9970732776569718
23,0.09478646442200676,0.7148787366486908,[0.         0.99719154 0.43256594],0.9971975356772412
24,0.07516308025461638,0.7188723327844335,[0.         0.99723169 0.44051298],0.9972377098633961
25,0.07121991891885818,0.7227370443761078,[0.         0.99732156 0.44815253],0.9973273742591239
26,0.11694784155645,0.7161171765454172,[0.         0.997189   0.43504535],0.9971950702192004
27,0.07023375839996385,0.706608835373645,[0.         0.99677303 0.41644464],0.9967804472712569
28,0.06660240315279323,0.7224993833934421,[0.         0.99737886 0.44761991],0.9973844126042757
29,0.06527484654344581,0.7198737238708259,[0.         0.99718351 0.44256394],0.9971897931804994
30,0.06561733118266593,0.7266699079023757,[0.         0.99742907 0.45591074],0.9974345977215685
31,0.07831581808271565,0.7203701726743954,[0.         0.99745509 0.44328526],0.9974602347577197
32,0.06056843268864922,0.7202162820888252,[0.         0.99739223 0.44304033],0.9973976291633632
33,0.057833262113581745,0.7253161077112467,[0.         0.99748697 0.45314525],0.9974921898629109
34,0.057294112797219146,0.7277655173433364,[0.         0.99756488 0.45796615],0.9975698810784983
35,0.08057422065865218,0.6857645507650116,[0.        0.9960441 0.375485 ],0.996053491259251
36,0.06698912272329464,0.7165485163623243,[0.         0.99714021 0.43595683],0.9971465145406991
37,0.055731055712604574,0.7181606574686712,[0.         0.99728192 0.43903939],0.9972876926320808
38,0.053158471899466854,0.7183504608648382,[0.         0.9972699  0.43943102],0.9972757327643489
39,0.052166683545038665,0.7257089719566374,[0.         0.99748307 0.45393487],0.9974883292644667
40,0.05224947217062667,0.72463444946109,[0.         0.99735657 0.45191233],0.9973623166687664
41,0.05152608757569178,0.7230285904248874,[0.         0.99731872 0.44873846],0.9973245626784638
42,0.05172852077862064,0.7196940520511559,[0.         0.99724672 0.44214138],0.9972527156101765
43,0.049897430153924935,0.7226272199267122,[0.         0.99747917 0.44777527],0.9974843089171214
44,0.04985545260543012,0.7230372374949403,[0.         0.99740316 0.44867131],0.9974086411876151
45,0.048275868023899896,0.7272554937137337,[0.         0.99753758 0.45697341],0.9975426705156709
46,0.047988567374378795,0.7259341977879724,[0.         0.99745299 0.45441541],0.9974583816704664
47,0.04703670862611861,0.7257076258122108,[0.         0.99748795 0.4539273 ],0.997493188293543
48,0.0458554035626168,0.7241744989405049,[0.        0.9972933 0.4510557],0.997299303714712
49,0.04549093372410437,0.7309140261815321,[0.         0.99762512 0.46420293],0.9976299999149604
50,0.04735514402433717,0.7309875594493802,[0.         0.99752992 0.4644452 ],0.9975352022545426
51,0.044768797579880594,0.7316345814469822,[0.         0.99755776 0.46571141],0.9975629453137072
52,0.043584229912206666,0.7303963608688845,[0.         0.99755783 0.46323489],0.9975629692760423
53,0.04314386688579103,0.7327035568294313,[0.         0.99759509 0.46781203],0.9976001614827092
54,0.04301373176856814,0.7298344031993808,[0.         0.99764476 0.46202405],0.9976495132432345
55,0.042950591967845286,0.731550887837782,[0.         0.99759824 0.46550353],0.9976032552864279
56,0.04249320854423147,0.7298526449132179,[0.         0.99767241 0.46203288],0.9976770539537909
57,0.04183556121686852,0.7315698895566298,[0.         0.99759825 0.46554153],0.9976032606113913
58,0.04150937171847587,0.7315391750919676,[0.         0.99755578 0.46552257],0.9975609697522964
59,0.04113695719964603,0.7335470616171429,[0.         0.99765523 0.4694389 ],0.9976600806330449
60,0.0410593422106876,0.7345877881573459,[0.         0.99762301 0.47155256],0.997628045653403
61,0.04046965972697443,0.7325026543857884,[0.         0.99763329 0.46737202],0.9976381950335887
62,0.04016198835385898,0.7318773024979055,[0.         0.99757642 0.46617818],0.9975815400857998
63,0.039849425091452575,0.731547502837611,[0.        0.9976172 0.4654778],0.9976221376065426
64,0.0395673929085744,0.7336566253577647,[0.         0.99762498 0.46968827],0.9976299679651801
65,0.03948106103725086,0.7307757027647066,[0.         0.99757473 0.46397668],0.9975798094727041
66,0.03899674033046634,0.736677240364595,[0.         0.99767631 0.47567817],0.9976811941128121
67,0.038762397571001785,0.7332535768098387,[0.         0.99759651 0.46891064],0.9976016045477828
