epoch,train_loss,val_miou,val_acc
0,10.86493636492201,0.5177971232465792,0.9817448570036535
1,7.165036656802759,0.5205068272181715,0.9773446400161484
2,5.7133942319635755,0.5296064792714987,0.9793452758695774
3,4.953844859785304,0.5464407666200726,0.9860843290302439
4,4.475967469968293,0.5530648629041995,0.9872650792188504
5,4.1532313145491715,0.5563600629495041,0.986703113742034
6,3.9133334186740387,0.5657073413066644,0.9890088824688219
7,3.724659966645683,0.5674054512313467,0.9893476706778587
8,3.5649948415899635,0.584146697708754,0.9912184945816812
9,3.4344289864513806,0.5698068310343114,0.989216801609374
10,3.307073732366538,0.5994218768186862,0.9928357913203948
11,3.1993855273813234,0.5712468294492948,0.988911037348076
12,3.1023697784371245,0.607450625475416,0.9936653522924719
13,3.0076578631436917,0.5985912577342614,0.992632696189416
14,2.9215445094240042,0.6041876024095015,0.9930955392868164
15,2.8405357476762663,0.6103748418542749,0.9939472056189306
16,2.7684714913666997,0.5964873331769651,0.992550338149685
17,2.695161599563178,0.6238158365874887,0.9948318321561914
18,2.6328352788337193,0.6109860954070264,0.9937800338749516
19,2.5688683983676115,0.6181072163208413,0.9946232377321421
20,2.537104849528549,0.6378078082678246,0.9958422110880851
21,2.4730288638805686,0.6275004270581883,0.9951699961421409
22,2.4078869977989292,0.6304195886982897,0.9952962466125823
23,2.359951469234954,0.6266760765836573,0.9949518982300715
24,2.314880209160329,0.5995597946471067,0.9931297289109082
25,2.2695473017250385,0.6364156294609937,0.9955394256795433
26,2.2317404180839846,0.6420404079058406,0.9958534339548972
27,2.188308259897065,0.6249373913859255,0.9948308949146686
28,2.144923367745297,0.6345601287827498,0.9956335238037627
29,2.11517207843618,0.6443363898584809,0.9961448256611398
30,2.079520643504341,0.642022556388274,0.9959066521214915
31,2.040864472251787,0.6410582011375477,0.9958693162562234
32,2.0083056238659642,0.6371478559717882,0.9955966221282057
33,1.9950462894929681,0.6394174009160183,0.9957595554920323
34,1.9614515512210684,0.632679159907761,0.9954725507303308
35,1.9165253083508713,0.6369401001231326,0.9956315143275335
36,1.8911260623382147,0.6355095545331662,0.9957183722551318
37,1.8645458582947427,0.6412427581949094,0.9959647636058394
38,1.8381069372769885,0.6420815333743932,0.9958387567198642
39,1.8137492715266712,0.6373040013501635,0.9957431280462854
40,1.784661685016221,0.6284551594646766,0.9952442298749237
41,1.755796325983559,0.6387936365182321,0.995733926849497
42,1.7280849512657128,0.6451217497040949,0.9960749108303578
43,1.704586478701809,0.6416043741510313,0.9958163066293761
44,1.6827453262823866,0.6444536360847402,0.9960635180499903
45,1.6597074661637308,0.6427355314684093,0.9959432510862453
46,1.6377174552520715,0.6410360129156317,0.9958173796317964
47,1.6191405113179582,0.6404621536154576,0.9959552695181573
48,1.6002393608403982,0.645788398282451,0.9959663187423285
49,1.583199497900511,0.6472836678377997,0.9961886786349217
50,1.5692670627644187,0.6459139365261113,0.9961015329646113
