epoch,accuracy,loss,val_accuracy,val_loss
0,0.9900605082511902,0.18914666771888733,0.9974651336669922,0.03022915869951248
1,0.9974607825279236,0.021059783175587654,0.9974647164344788,0.017011018469929695
2,0.9974576234817505,0.014786162413656712,0.9974644780158997,0.014342875219881535
3,0.9974694848060608,0.012059293687343597,0.9975010752677917,0.01051806565374136
4,0.9976553916931152,0.00992139894515276,0.9980149865150452,0.008048458024859428
5,0.9979708790779114,0.008032917976379395,0.9975941181182861,0.008401138707995415
6,0.9982369542121887,0.006681326776742935,0.9981386661529541,0.006159478332847357
7,0.9984416961669922,0.005736270919442177,0.9975703954696655,0.007710342761129141
8,0.9986135959625244,0.005118063185364008,0.9984339475631714,0.004879386629909277
9,0.9987748265266418,0.00446922006085515,0.9979380965232849,0.005656734574586153
10,0.998914361000061,0.003959136549383402,0.9979856014251709,0.005944829899817705
11,0.9989372491836548,0.0039249612018466,0.998812198638916,0.003658775007352233
12,0.9991177916526794,0.0032253877725452185,0.9989882707595825,0.0036370817106217146
13,0.9991191029548645,0.003183417720720172,0.9987663626670837,0.003936739172786474
14,0.9991675019264221,0.00302683818154037,0.9987897872924805,0.0034456592984497547
15,0.9992472529411316,0.0026770690456032753,0.9990203976631165,0.0028493604622781277
16,0.9993290305137634,0.0024057936388999224,0.9990332722663879,0.002829823177307844
17,0.9993482828140259,0.00234664767049253,0.9985341429710388,0.003949643112719059
18,0.9993793964385986,0.0022190117742866278,0.9991568922996521,0.0026265420019626617
19,0.99937504529953,0.0022145966067910194,0.9991573095321655,0.0023872777819633484
20,0.9994361400604248,0.0019898891914635897,0.9992283582687378,0.0023015853948891163
21,0.999476432800293,0.0018666702089831233,0.9992733001708984,0.0020095733925700188
