epoch,train_loss,val_miou,val_acc
0,3.659777878817906,0.49139507675731586,0.950931036374194
1,1.8583909603066269,0.5319572761594863,0.9796432663712271
2,1.3280327745953133,0.5555876715165493,0.9880559486542166
3,1.0550046840115734,0.5272576214643568,0.9785086718285684
4,0.8964609373610055,0.5843492951774777,0.9926676255274435
5,0.7916790738041485,0.5733194767410117,0.9913026254346797
6,0.7119052595424662,0.5989853791226558,0.9932859711558257
7,0.6602791656138856,0.6101747513725008,0.9947190382375304
8,0.6039056054824172,0.6374643269577767,0.9958958392229553
9,0.5755696342074402,0.6306888340420121,0.9955468396781493
10,0.5612562389726623,0.5853464081527799,0.9917102264726453
11,0.5105379411956937,0.6434826312951201,0.9963184200377542
12,0.5014899081930543,0.6146223283116039,0.9946458430252811
13,0.46444652859981245,0.6364621541154684,0.9956825370549629
14,0.45518701029847997,0.6140825961921024,0.9941202430701415
15,0.44031576952900126,0.615579656675074,0.9940275750251217
16,0.4268466309803136,0.6532131598074709,0.9962327850027586
17,0.4129933753996203,0.6404361961222408,0.995441729463196
18,0.3930403306102224,0.6693954929135704,0.9967684066679877
19,0.3844456839107326,0.6416710160163751,0.9956676727516283
20,0.3815955712972365,0.6396301830448965,0.9955884736171275
21,0.36555431051924203,0.6627027346634654,0.9965177390011586
22,0.35109085532023654,0.6530651933762772,0.9960139402553206
23,0.34996564712112205,0.656387733207386,0.9962177204933027
24,0.34050896091668564,0.6642720741684738,0.996670789442555
25,0.3335832827502587,0.6773310873390215,0.9969752564842795
26,0.3343673375062177,0.6574690541125381,0.9963930390568666
27,0.32069254514681844,0.663156359684546,0.9965336050711214
28,0.3139702425148326,0.6446606807441009,0.995723944942865
29,0.3127064622360839,0.6545421805425219,0.9962189603860961
31,0.29664803566029574,0.6612855911041657,0.9964425895024496
32,0.2906268376551014,0.6712767784122731,0.9968244510337101
33,0.2883737960528196,0.6832342869522615,0.9970143227238575
34,0.2916704081820424,0.6408270892544666,0.995747780137677
35,0.28530003838427986,0.657983153679737,0.996363167454061
36,0.28056308562302007,0.6678507247041023,0.9963652958964897
37,0.2733335640751772,0.6734467075597943,0.9967346192547871
38,0.26930539501479744,0.6739300748251725,0.9968682043746764
39,0.266739517792765,0.6746037684572488,0.997031829863945
40,0.2608277075164749,0.6822092459672855,0.9970976295470366
41,0.26383496148404306,0.6741595720720903,0.9969764841677933
42,0.25958939366950573,0.6826417650797302,0.9969112202613369
43,0.2553900942846083,0.6799565296596153,0.9970132898058619
44,0.25168914294332095,0.6797504106370774,0.9968888239385034
45,0.253303291034701,0.6844842197447042,0.9970846667857548
46,0.2483191284042297,0.6776664945813113,0.9969950086343113
47,0.25204626685997356,0.677800030014008,0.9970378455559631
48,0.24498756700619762,0.6773167867412762,0.996902945491616
49,0.2411741478937868,0.6767678975090243,0.9969256678977686
50,0.24224556537257838,0.689041570755361,0.9970225915216531
51,0.24350836032313952,0.6730170321916975,0.9967877835964015
52,0.23654605354296113,0.6731966809123245,0.9971810711376939
